symbol,ensembl_id,threshold
A4GALT,ENSG00000128274,2.0046535599554747
AACS,ENSG00000081760,2.2760303784288314
AADAT,ENSG00000109576,3.1382430349468717
AASS,ENSG00000008311,3.4920045601793643
ABAT,ENSG00000183044,4.805038730449241
ABCD1,ENSG00000101986,1.7959225401078531
ABCD3,ENSG00000117528,2.8557583397517052
ACAA1,ENSG00000060971,2.175383198214221
ACAA2,ENSG00000167315,2.0913989084608526
ACACA,ENSG00000278540,2.2226638503248637
ACACB,ENSG00000076555,4.098952917878642
ACAD10,ENSG00000111271,3.067234755497277
ACAD11,ENSG00000240303,3.925403124120438
ACAD8,ENSG00000151498,1.8746731592800356
ACAD9,ENSG00000177646,1.9646803297086528
ACADL,ENSG00000115361,3.251126143321642
ACADM,ENSG00000117054,2.4205533502043095
ACADS,ENSG00000122971,1.8171345296930155
ACADSB,ENSG00000196177,3.049712816308632
ACAT1,ENSG00000075239,2.443803051236963
ACAT2,ENSG00000120437,2.4828686028132956
ACMSD,ENSG00000153086,5.650080918476588
ACO1,ENSG00000122729,2.141127241423016
ACO2,ENSG00000100412,2.2674653725416154
ACOX1,ENSG00000161533,2.323721158419574
ACOX2,ENSG00000168306,1.9300696855140456
ACSBG2,ENSG00000130377,12.585757844197442
ACSL1,ENSG00000151726,3.4985397921963015
ACSL3,ENSG00000123983,3.316367255053865
ACSL4,ENSG00000068366,3.3314495900964483
ACSL5,ENSG00000197142,2.104935594877695
ACSL6,ENSG00000164398,3.455326416229215
ADH1A,ENSG00000187758,10.172968991994038
ADH1B,ENSG00000196616,15.868968047747137
ADH1C,ENSG00000248144,13.020968519870587
ADH4,ENSG00000198099,9.721897019337906
ADH5,ENSG00000197894,2.511948529371983
ADH6,ENSG00000172955,5.595227592261166
ADH7,ENSG00000196344,2.826657087282337
ADHFE1,ENSG00000147576,3.110675000127901
ADK,ENSG00000156110,4.672755373710219
ADSL,ENSG00000239900,1.9321510167375775
ADSS1,ENSG00000185100,1.9220834320942695
ADSS2,ENSG00000035687,2.274266553239991
AFMID,ENSG00000183077,2.1447382511921416
AGA,ENSG00000038002,1.892188218789432
AGL,ENSG00000162688,2.8743502760076365
AGPAT1,ENSG00000204310,1.7631909527075178
AGPAT2,ENSG00000169692,1.969777144220913
AGPAT3,ENSG00000160216,2.9685260406562537
AGPAT4,ENSG00000026652,4.606181351778536
AGPAT5,ENSG00000155189,2.934811121390651
AGXT,ENSG00000172482,15.233997641714755
AHCY,ENSG00000101444,2.046556484262351
AHCYL1,ENSG00000168710,2.4999264784598783
AK1,ENSG00000106992,2.0482737766944887
AK2,ENSG00000004455,2.1182865954791814
AK5,ENSG00000154027,4.4904391617827075
AK7,ENSG00000140057,2.6079663679374803
AKR1A1,ENSG00000117448,2.5585532625272633
AKR1B1,ENSG00000085662,2.5306958464002225
AKR1C4,ENSG00000198610,12.685869431559512
AKR1D1,ENSG00000122787,3.66704391590413
AKR7A2,ENSG00000053371,2.0290704641843225
ALAD,ENSG00000148218,2.155011585949272
ALAS1,ENSG00000023330,2.1251564936170855
ALAS2,ENSG00000158578,15.296353729110322
ALDH18A1,ENSG00000059573,1.9705990393577573
ALDH1A1,ENSG00000165092,4.092927207819942
ALDH1A2,ENSG00000128918,4.327032895414436
ALDH1A3,ENSG00000184254,3.8620550039819594
ALDH1B1,ENSG00000137124,1.4570442676888895
ALDH1L1,ENSG00000144908,4.239590186364617
ALDH1L2,ENSG00000136010,3.1337740420451112
ALDH2,ENSG00000111275,3.4671091365806097
ALDH3A1,ENSG00000108602,11.051658865034629
ALDH3A2,ENSG00000072210,2.7708348047976203
ALDH3B1,ENSG00000006534,1.7322299360258242
ALDH3B2,ENSG00000132746,1.3385614154558192
ALDH4A1,ENSG00000159423,1.6236531253418818
ALDH5A1,ENSG00000112294,2.562417282340957
ALDH6A1,ENSG00000119711,2.412733302585897
ALDH7A1,ENSG00000164904,2.6394009132560727
ALDH9A1,ENSG00000143149,2.211023613872065
ALDOA,ENSG00000149925,6.228438898476751
ALDOB,ENSG00000136872,28.348394982704896
ALDOC,ENSG00000109107,3.307865355945318
AMACR,ENSG00000242110,2.0697138109581705
AMD1,ENSG00000123505,2.721053399204193
AMDHD1,ENSG00000139344,5.446295330581973
AMT,ENSG00000145020,2.0740636439312685
AMY1A,ENSG00000237763,1.3390462897290811
AMY1B,ENSG00000174876,1.3792825301907252
AMY1C,ENSG00000187733,1.1300150434998548
AMY2A,ENSG00000243480,2.7208485202053736
AMY2B,ENSG00000240038,3.3890295565866846
AOC1,ENSG00000002726,3.9698528284408083
AOC2,ENSG00000131480,1.9655206441711708
AOC3,ENSG00000131471,3.577173134369171
AP1B1,ENSG00000100280,2.1668326541979397
AP1G1,ENSG00000166747,3.0297326952021564
AP1M1,ENSG00000072958,2.4870367398367716
AP1S1,ENSG00000106367,1.8672614747299279
AP1S2,ENSG00000182287,3.2731178973292607
AP3B2,ENSG00000103723,4.644538289498527
AP3D1,ENSG00000065000,2.2508496873952235
AP3M1,ENSG00000185009,2.1189985298765137
AP3M2,ENSG00000070718,2.6701817058194974
AP3S2,ENSG00000157823,2.2286745450103655
APRT,ENSG00000198931,3.910303568827915
AQP8,ENSG00000103375,16.356094270812793
AQP9,ENSG00000103569,2.6895594090408337
ARF1,ENSG00000143761,3.838360117844913
ARG1,ENSG00000118520,9.532430694253922
ARG2,ENSG00000081181,2.7859904445903583
ASL,ENSG00000126522,1.9439564247939582
ASNS,ENSG00000070669,2.4706015951613547
ASPG,ENSG00000166183,2.636286236777169
ASRGL1,ENSG00000162174,2.5614391028821237
ASS1,ENSG00000130707,3.698979605222611
ATIC,ENSG00000138363,1.9953962280878195
ATP5F1A,ENSG00000152234,5.225655176251927
ATP5F1B,ENSG00000110955,4.60396004251348
ATP5F1C,ENSG00000165629,3.5460241175450897
ATP5F1D,ENSG00000099624,4.323176874356523
ATP5F1E,ENSG00000124172,12.407476440147438
ATP5MC1,ENSG00000159199,3.2278120333625036
ATP5MC2,ENSG00000135390,7.760494611163986
ATP5MC3,ENSG00000154518,5.146117316440521
ATP5ME,ENSG00000169020,4.453332895673598
ATP5MF,ENSG00000241468,4.364865525313534
ATP5MG,ENSG00000167283,8.16814988984913
ATP5MGL,ENSG00000249222,2.005780583745914
ATP5PB,ENSG00000116459,3.179659673585726
ATP5PD,ENSG00000167863,3.291754313335896
ATP5PF,ENSG00000154723,4.566839265107691
ATP5PO,ENSG00000241837,4.580107872663978
ATXN3,ENSG00000066427,2.6122062021933203
AUH,ENSG00000148090,3.6424103759885362
B3GALNT1,ENSG00000169255,2.647891894739412
B3GALT1,ENSG00000172318,4.724366086128747
B3GALT2,ENSG00000162630,4.770136941275673
B3GALT5,ENSG00000183778,3.6630615515385223
B3GNT2,ENSG00000170340,2.135665625956115
B3GNT3,ENSG00000179913,1.3208448194154678
B3GNT4,ENSG00000176383,2.5184977574367897
B3GNT6,ENSG00000198488,2.119839422071962
B3GNT7,ENSG00000156966,2.6353432740187044
B3GNT8,ENSG00000177191,1.3938987502310864
B3GNTL1,ENSG00000175711,2.1334854399435863
B4GALT1,ENSG00000086062,3.339547486453743
B4GALT2,ENSG00000117411,2.056806877116977
B4GALT3,ENSG00000158850,1.8598961712014155
B4GALT5,ENSG00000158470,3.6516365248956446
B4GAT1,ENSG00000174684,2.605553425784531
BAAT,ENSG00000136881,9.877510241044282
BAG6,ENSG00000204463,2.33363942911674
BCAP31,ENSG00000185825,2.7526873149872215
BCAT1,ENSG00000060982,2.5110657626922226
BCAT2,ENSG00000105552,1.859634847371068
BCKDHA,ENSG00000248098,1.4348467233011726
BCKDHB,ENSG00000083123,4.263820881732295
BDH1,ENSG00000161267,2.6841535794650184
BLVRA,ENSG00000106605,2.2357388314319446
BLVRB,ENSG00000090013,4.697454451433933
BPGM,ENSG00000172331,2.151976571777995
C1GALT1,ENSG00000106392,2.4853666552953237
C1GALT1C1,ENSG00000171155,1.7410100334509075
CA1,ENSG00000133742,9.022361948785905
CA12,ENSG00000074410,5.818033052381648
CA13,ENSG00000185015,2.463427953244731
CA14,ENSG00000118298,2.387260267705363
CA2,ENSG00000104267,4.234057158947551
CA3,ENSG00000164879,4.265166379523607
CA4,ENSG00000167434,10.182021708679065
CA5A,ENSG00000174990,2.068128736348705
CA5B,ENSG00000169239,2.695630860930517
CA6,ENSG00000131686,2.3554083507330303
CA7,ENSG00000168748,3.036241563168795
CA9,ENSG00000107159,2.6115279452573206
CAD,ENSG00000084774,1.8751795209803894
CALM1,ENSG00000198668,7.558175919129559
CALR,ENSG00000179218,5.299264540691113
CANX,ENSG00000127022,3.4782380609712527
CAT,ENSG00000121691,2.7981618215603006
CBS,ENSG00000160200,3.597244944137585
CDIPT,ENSG00000103502,2.0098437298369705
CDO1,ENSG00000129596,2.6279214378533555
CEL,ENSG00000170835,12.200823141807783
CERT1,ENSG00000113163,3.422083784852126
CHST1,ENSG00000175264,3.394435099226642
CHST2,ENSG00000175040,2.587687961953961
CHST3,ENSG00000122863,3.133402467015984
CHST4,ENSG00000140835,2.6830310479440787
CHST5,ENSG00000135702,2.38000765664101
CHST6,ENSG00000183196,1.7708254136573494
CLTA,ENSG00000122705,3.85428045502318
CLTB,ENSG00000175416,2.809489263400609
CLTC,ENSG00000141367,2.924659516672399
CMAS,ENSG00000111726,2.1582542573606833
CMPK1,ENSG00000162368,2.7984641999179365
CNDP1,ENSG00000150656,11.527146944235744
CNDP2,ENSG00000133313,2.2794773103671293
COASY,ENSG00000068120,1.758803591719684
COQ2,ENSG00000173085,1.5480251661175988
COQ3,ENSG00000132423,1.498503224148989
COQ6,ENSG00000119723,1.9931793729362024
COQ7,ENSG00000167186,2.1399775933610985
COX1,ENSG00000198804,100.44699673183788
COX2,ENSG00000198712,86.8935524562312
COX3,ENSG00000198938,84.56510456484297
COX4I1,ENSG00000131143,9.953127288792635
COX4I2,ENSG00000131055,6.582554103751802
COX5A,ENSG00000178741,4.031318532123526
COX5B,ENSG00000135940,5.581210213717518
COX6A1,ENSG00000111775,4.950977864751759
COX6A2,ENSG00000156885,23.065634118748115
COX6B1,ENSG00000126267,5.883222023027544
COX6B2,ENSG00000160471,1.9433667613911614
COX6C,ENSG00000164919,6.190398585724452
COX7A1,ENSG00000161281,6.812282046681845
COX7A2,ENSG00000112695,6.083741130327066
COX7A2L,ENSG00000115944,3.234578332111313
COX7B,ENSG00000131174,4.942131064598273
COX7B2,ENSG00000170516,16.610540130905047
COX7C,ENSG00000127184,9.724441968854814
COX8A,ENSG00000176340,5.017516772783429
COX8C,ENSG00000187581,7.918152125233139
CPOX,ENSG00000080819,2.3405781959524092
CPS1,ENSG00000021826,3.3330646753800535
CPT1A,ENSG00000110090,2.3251237519515806
CPT1B,ENSG00000205560,2.8099981230027526
CPT1C,ENSG00000169169,3.5044108821853683
CPT2,ENSG00000157184,1.758329049746767
CRAT,ENSG00000095321,1.7242659233247668
CRLS1,ENSG00000088766,1.924803180163953
CROT,ENSG00000005469,2.4463975931165414
CS,ENSG00000062485,2.0874868328885134
CTH,ENSG00000116761,2.2717706462121354
CTPS1,ENSG00000171793,1.8857346962391466
CTPS2,ENSG00000047230,3.9475454848864624
CTSA,ENSG00000064601,2.6071592392146
CUL1,ENSG00000055130,2.8076696400526164
CYB5D1,ENSG00000182224,1.6643380016203297
CYC1,ENSG00000179091,2.915066663702531
CYP27A1,ENSG00000135929,3.250096231636177
CYP2E1,ENSG00000130649,12.604866042262172
CYP51A1,ENSG00000001630,3.204867402355354
CYP7A1,ENSG00000167910,2.2662908269435924
CYTB,ENSG00000198727,55.023306044172934
DAD1,ENSG00000129562,3.535269094506448
DBH,ENSG00000123454,14.514566412057915
DBT,ENSG00000137992,2.5799130110535957
DCXR,ENSG00000169738,2.6879421521897378
DDC,ENSG00000132437,6.087439609266563
DDOST,ENSG00000244038,2.667199060087872
DECR2,ENSG00000242612,1.53684018248702
DEGS1,ENSG00000143753,2.3514565218294448
DEGS2,ENSG00000168350,2.0898483046375143
DERL1,ENSG00000136986,2.132816782123201
DERL3,ENSG00000099958,2.426334686904495
DGAT1,ENSG00000185000,2.008835157206456
DGAT2,ENSG00000062282,2.099269102314193
DGKA,ENSG00000065357,2.6436972131350114
DGKB,ENSG00000136267,8.585822163242476
DGKD,ENSG00000077044,3.1821209608897236
DGKE,ENSG00000153933,2.843348241640977
DGKG,ENSG00000058866,5.6314855323637785
DGKH,ENSG00000102780,5.6230772019874395
DGKI,ENSG00000157680,8.230725643918674
DGKQ,ENSG00000145214,2.159555714433043
DGKZ,ENSG00000149091,2.4039930819439657
DHFR,ENSG00000228716,1.8695279401799547
DHODH,ENSG00000102967,1.623118989713096
DLAT,ENSG00000150768,1.9515218604594318
DLD,ENSG00000091140,2.1562560538537436
DLST,ENSG00000119689,1.9638220056537627
DMAC2L,ENSG00000125375,2.1969677483462093
DNAJC1,ENSG00000136770,3.238276083363379
DPM2,ENSG00000136908,1.8174984254193782
DPYD,ENSG00000188641,6.079737413687629
DPYS,ENSG00000147647,7.031228435513908
DPYSL2,ENSG00000092964,5.7448997798139985
DPYSL3,ENSG00000113657,7.92895626541964
DTYMK,ENSG00000168393,2.083795358698325
ECHS1,ENSG00000127884,2.471768944863623
ECI2,ENSG00000198721,2.244239921158186
EDEM1,ENSG00000134109,2.0875795398488615
EDEM2,ENSG00000088298,1.928142928574735
EDEM3,ENSG00000116406,2.799603746953579
EHHADH,ENSG00000113790,2.79280976930872
ELOVL2,ENSG00000197977,5.626813315977617
ELOVL4,ENSG00000118402,4.2627702882672835
ELOVL5,ENSG00000012660,2.7919148019820716
ELOVL6,ENSG00000170522,4.630866809318317
ENO1,ENSG00000074800,6.457088924451119
ENO2,ENSG00000111674,5.443676469344362
ENO3,ENSG00000108515,3.2084807074158657
ERO1A,ENSG00000197930,2.4530532367886058
ERO1B,ENSG00000086619,2.8569167791356036
ETFA,ENSG00000140374,2.4154979233604754
ETFB,ENSG00000105379,2.590938899410508
ETFDH,ENSG00000171503,2.489307433978257
EXOC2,ENSG00000112685,3.605438531637685
EXOC3,ENSG00000180104,2.05554258435309
EXOC4,ENSG00000131558,7.533715488376587
EXOC5,ENSG00000070367,2.7280933984578843
EXOC6B,ENSG00000144036,10.36310896265962
EXOC7,ENSG00000182473,2.3736089606792334
EXOC8,ENSG00000116903,2.1211862338216005
FABP1,ENSG00000163586,49.612604427529554
FADS1,ENSG00000149485,2.516131720918357
FADS2,ENSG00000134824,3.9316626628128186
FAH,ENSG00000103876,1.512719418950695
FASN,ENSG00000169710,2.199114692622774
FBP1,ENSG00000165140,3.4614471445619808
FBP2,ENSG00000130957,2.436228058706242
FBXO2,ENSG00000116661,2.5660843914570464
FCSK,ENSG00000157353,2.1580228835748785
FDFT1,ENSG00000079459,3.0094273860714655
FECH,ENSG00000066926,2.3918461924125842
FH,ENSG00000091483,1.9031414310867765
FLAD1,ENSG00000160688,1.8370183217275746
FPGT,ENSG00000254685,2.0478005271802866
FTCD,ENSG00000160282,8.532841649230841
FUCA1,ENSG00000179163,2.042017881441648
FUT8,ENSG00000033170,5.273872972100429
G6PC1,ENSG00000131482,3.8393458924417745
G6PC2,ENSG00000152254,2.8569132782457642
G6PC3,ENSG00000141349,1.6396140841664542
G6PD,ENSG00000160211,1.8735393113982053
GAD1,ENSG00000128683,6.311930722649147
GAD2,ENSG00000136750,6.506914624483225
GALE,ENSG00000117308,1.5706995575631792
GALK1,ENSG00000108479,1.581960716627161
GALK2,ENSG00000156958,2.9999423619425793
GALNS,ENSG00000141012,1.850570559294227
GALNT1,ENSG00000141429,3.0062223874776652
GALNT10,ENSG00000164574,3.45622460375703
GALNT11,ENSG00000178234,3.036175761011052
GALNT12,ENSG00000119514,1.60926126310974
GALNT13,ENSG00000144278,9.79972752079502
GALNT14,ENSG00000158089,5.046697106431115
GALNT15,ENSG00000131386,6.293180104852838
GALNT17,ENSG00000185274,10.757778576662638
GALNT2,ENSG00000143641,3.2467249903746147
GALNT3,ENSG00000115339,2.3258897616022725
GALNT4,ENSG00000257594,1.3246668792207676
GALNT5,ENSG00000136542,1.6568957076074038
GALNT6,ENSG00000139629,1.8788965325388995
GALNT7,ENSG00000109586,3.2085992201761897
GALNT8,ENSG00000130035,4.965480336574219
GALNT9,ENSG00000182870,3.7128577199960073
GALT,ENSG00000213930,2.0209137013719087
GAMT,ENSG00000130005,2.0750895883822755
GANAB,ENSG00000089597,1.9993586357820374
GAPDH,ENSG00000111640,20.045450745942386
GAPDHS,ENSG00000105679,3.132312712619955
GART,ENSG00000159131,2.231398007380007
GATM,ENSG00000171766,4.993718576784148
GBE1,ENSG00000114480,2.9330434088548545
GBF1,ENSG00000107862,4.216890992399528
GCAT,ENSG00000100116,1.3431807127482154
GCDH,ENSG00000105607,1.872600353607975
GCK,ENSG00000106633,2.3352630831148224
GCLC,ENSG00000001084,2.4156348393662945
GCLM,ENSG00000023909,2.38569195382168
GCNT1,ENSG00000187210,2.0205684779070436
GCNT3,ENSG00000140297,2.3651738567523077
GCNT4,ENSG00000176928,2.2863231007325164
GCSH,ENSG00000140905,2.01785715335249
GDA,ENSG00000119125,3.4726797304477133
GET1,ENSG00000182093,2.5651685802152175
GET3,ENSG00000198356,2.079275594164859
GFPT1,ENSG00000198380,2.912290789671612
GFPT2,ENSG00000131459,2.9412410705045597
GGA1,ENSG00000100083,2.3836974929096635
GGA2,ENSG00000103365,2.7170438809401514
GGA3,ENSG00000125447,2.3178883012343943
GGPS1,ENSG00000152904,2.4586499464385883
GK,ENSG00000198814,3.19823846732845
GK2,ENSG00000196475,35.93516824938767
GLB1,ENSG00000170266,2.1148281052881917
GLDC,ENSG00000178445,3.909974639582787
GLS,ENSG00000115419,3.2267097004398644
GLS2,ENSG00000135423,3.2318664208066927
GLUD1,ENSG00000148672,2.7287495404933733
GLUD2,ENSG00000182890,2.0268824537484655
GLUL,ENSG00000135821,5.048631664703325
GMPPA,ENSG00000144591,1.5532793494997912
GMPPB,ENSG00000173540,1.5625656210677776
GMPS,ENSG00000163655,2.398200532472711
GNE,ENSG00000159921,2.7940187433548918
GNMT,ENSG00000124713,6.731826163949112
GNPDA1,ENSG00000113552,1.8806019686810944
GNPDA2,ENSG00000163281,2.3829092764595607
GNPNAT1,ENSG00000100522,1.8462231105854223
GOT1,ENSG00000120053,2.193726447796135
GOT2,ENSG00000125166,2.014529259406241
GPAA1,ENSG00000197858,2.1347720231149694
GPAM,ENSG00000119927,3.3745463681908547
GPAT4,ENSG00000158669,2.241234410704609
GPD1,ENSG00000167588,3.050506619677355
GPI,ENSG00000105220,2.637586302881338
GPT,ENSG00000167701,4.100326201585713
GPT2,ENSG00000166123,2.3183003502555355
GPX1,ENSG00000233276,6.667964841639505
GPX4,ENSG00000167468,5.58453642428775
GRHPR,ENSG00000137106,2.156563914155194
GSR,ENSG00000104687,2.45061261021213
GSS,ENSG00000100983,1.7787739739308297
GSTZ1,ENSG00000100577,1.4420801360971025
GUK1,ENSG00000143774,4.46238426081482
GYG1,ENSG00000163754,2.2512884367476818
GYG2,ENSG00000056998,2.874573028297223
GYS1,ENSG00000104812,2.481931488745345
GYS2,ENSG00000111713,4.875231120168
HAAO,ENSG00000162882,1.8209825631546102
HADH,ENSG00000138796,2.0370585857429266
HADHA,ENSG00000084754,2.7745644625451003
HADHB,ENSG00000138029,2.55674619556883
HAL,ENSG00000084110,3.545320670774349
HDC,ENSG00000140287,4.0758616926353985
HEXA,ENSG00000213614,2.4079926616620546
HEXB,ENSG00000049860,2.3885863306357042
HGD,ENSG00000113924,5.472514383662016
HIBADH,ENSG00000106049,2.670030075787319
HIBCH,ENSG00000198130,3.5008850181790927
HK1,ENSG00000156515,2.5886169582982372
HK2,ENSG00000159399,1.9209323405733794
HK3,ENSG00000160883,1.8919969481613004
HKDC1,ENSG00000156510,2.9717790932323864
HMBS,ENSG00000256269,2.2094220271670446
HMGCL,ENSG00000117305,1.9264649189205167
HMGCLL1,ENSG00000146151,5.442219672363473
HMGCR,ENSG00000113161,3.583314571312392
HMGCS2,ENSG00000134240,9.223063653122956
HMOX1,ENSG00000100292,3.4304029642278473
HMOX2,ENSG00000103415,2.3914157945693826
HPD,ENSG00000158104,13.842986995465875
HPRT1,ENSG00000165704,2.3977548042729424
HSD17B10,ENSG00000072506,2.2460041493433445
